Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513278947/ticam1_ko_source_score
Mapping: Eif4g2 Eif4e1b -- 0.8
Mapping: Eif4g2 Eif4e2 -- 0.8
Mapping: Eif4g1 Eif4e -- 0.8
Mapping: Eif4g1 Eif4e1b -- 0.8
Mapping: Eif4g1 Eif4e2 -- 0.8
Mapping: Eif4g3 Eif4e -- 0.8
Mapping: Eif4g3 Eif4e1b -- 0.8
Mapping: Eif4g3 Eif4e2 -- 0.8
Mapping: Eif4g2 Eif4a1 -- 0.8
Mapping: Eif4g2 Eif4a2 -- 0.8
**Direct connection between source and sink for Eif4g2-Eif4a2
Mapping: Eif4g1 Eif4a1 -- 0.8
Mapping: Eif4g1 Eif4a2 -- 0.8
Mapping: Eif4g3 Eif4a1 -- 0.8
Mapping: Eif4g3 Eif4a2 -- 0.8
Mapping: Ddx20 Gemin4 -- 0.8
Mapping: Ddx20 Smn1 -- 0.8
Mapping: Ddx20 Gemin8 -- 0.8
Mapping: Ddx20 Gemin5 -- 0.8
Mapping: Ddx20 Sip1 -- 0.8
Mapping: Ddx20 Gemin7 -- 0.8
Mapping: Ddx20 Gemin6 -- 0.8
Mapping: Ddx20 Strap -- 0.8
Mapping: Nup214 Nup88 -- 0.8
Mapping: Ube2i Sumo2 -- 0.8
Mapping: Ube2i Sumo3 -- 0.8
Mapping: Ube2i Sumo1 -- 0.8
Mapping: Ube2i Ranbp2 -- 0.8
Mapping: Sumo2 Ranbp2 -- 0.8
Mapping: Sumo3 Ranbp2 -- 0.8
Mapping: Sumo1 Ranbp2 -- 0.8
Mapping: Ranbp2 Rangap1 -- 0.8
Mapping: Nup62 Nupl1 -- 0.8
Mapping: Nup62 Nup54 -- 0.8
Mapping: Nup93 Nup205 -- 0.8
Mapping: Nup93 Nup188 -- 0.8
Mapping: Nup155 Gm4353 -- 0.8
Mapping: Nup155 Nup35 -- 0.8
Mapping: Nup153 4930444G20Rik -- 0.8
Mapping: Nup153 AF366264 -- 0.8
Mapping: Nup153 Gm5415 -- 0.8
Mapping: Nup153 Gm9839 -- 0.8
Mapping: Nup153 Senp2 -- 0.8
Mapping: Nup98 Rae1 -- 0.8
Mapping: Nup37 Nup160 -- 0.8
Mapping: Nup37 Nup85 -- 0.8
Mapping: Nup37 Nup43 -- 0.8
Mapping: Nup37 Nup133 -- 0.8
Mapping: Nup37 Nup98 -- 0.8
Mapping: Nup37 Nup107 -- 0.8
Mapping: Sec13 Nup133 -- 0.8
Mapping: Seh1l Nup107 -- 0.8
Mapping: Seh1l Nup98 -- 0.8
Mapping: Sec13 Nup98 -- 0.8
Mapping: Gm4340 Ddx39b -- 0.8
Mapping: Alyref Ddx39b -- 0.8
Mapping: Alyref2 Ddx39b -- 0.8
Mapping: AC121888.1 Ddx39b -- 0.8
